scientific,month,gno,count,latitude,longitude,nsb,stations_count,stations,nsb_category
Acrocephalus orientalis,1,930,2,22.47242379,113.9993718,13.61373671118716,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Acrocephalus orientalis,5,930,1,22.47242379,113.9993718,11.488827680472998,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Acrocephalus orientalis,9,930,1,22.47242379,113.9993718,12.434991467016738,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Acrocephalus orientalis,10,930,2,22.47242379,113.9993718,13.221696914700546,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Acrocephalus orientalis,11,930,1,22.47242379,113.9993718,13.762746377286737,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Actitis hypoleucos,1,860,1,22.48145416,113.9993603,13.61373671118716,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Actitis hypoleucos,1,931,4,22.47243418,114.0090884,13.61373671118716,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Actitis hypoleucos,2,860,2,22.48145416,113.9993603,14.407064511043773,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",
Actitis hypoleucos,2,931,2,22.47243418,114.0090884,14.407064511043773,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",
Actitis hypoleucos,3,860,1,22.48145416,113.9993603,12.57666983087316,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Actitis hypoleucos,3,931,3,22.47243418,114.0090884,12.57666983087316,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Actitis hypoleucos,4,860,1,22.48145416,113.9993603,11.943803108128067,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Actitis hypoleucos,4,930,1,22.47242379,113.9993718,11.943803108128067,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Actitis hypoleucos,4,931,6,22.47243418,114.0090884,11.943803108128067,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Actitis hypoleucos,5,931,2,22.47243418,114.0090884,11.488827680472998,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Actitis hypoleucos,8,931,1,22.47243418,114.0090884,12.21860604427822,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Actitis hypoleucos,9,860,2,22.48145416,113.9993603,12.434991467016738,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Actitis hypoleucos,9,931,3,22.47243418,114.0090884,12.434991467016738,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Actitis hypoleucos,10,931,3,22.47243418,114.0090884,13.221696914700546,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Actitis hypoleucos,10,932,1,22.472444,114.0188049,13.221696914700546,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Actitis hypoleucos,11,860,1,22.48145416,113.9993603,13.762746377286737,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Actitis hypoleucos,11,931,3,22.47243418,114.0090884,13.762746377286737,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Actitis hypoleucos,12,860,2,22.48145416,113.9993603,14.166821690711211,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",
Actitis hypoleucos,12,931,4,22.47243418,114.0090884,14.166821690711211,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",
Acytolepis puspa,3,860,1,22.48145416,113.9993603,12.57666983087316,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Acytolepis puspa,4,930,1,22.47242379,113.9993718,11.943803108128067,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Acytolepis puspa,4,931,1,22.47243418,114.0090884,11.943803108128067,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Acytolepis puspa,5,930,1,22.47242379,113.9993718,11.488827680472998,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Acytolepis puspa,5,931,1,22.47243418,114.0090884,11.488827680472998,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Acytolepis puspa,6,2881,1,22.21945077,113.9124006,7.943545617795285,1,"['Shek Pik Tide Gauge Station, Hong Kong Observatory']",7-8
Acytolepis puspa,6,860,1,22.48145416,113.9993603,11.636687146585473,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Acytolepis puspa,6,930,1,22.47242379,113.9993718,11.636687146585473,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Acytolepis puspa,6,931,1,22.47243418,114.0090884,11.636687146585473,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Acytolepis puspa,7,860,1,22.48145416,113.9993603,11.563271272381558,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Acytolepis puspa,7,930,1,22.47242379,113.9993718,11.563271272381558,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Acytolepis puspa,7,931,1,22.47243418,114.0090884,11.563271272381558,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",11-12
Acytolepis puspa,8,931,1,22.47243418,114.0090884,12.21860604427822,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Acytolepis puspa,9,931,1,22.47243418,114.0090884,12.434991467016738,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Aeromachus jhora,3,930,1,22.47242379,113.9993718,12.57666983087316,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Aeromachus jhora,8,930,1,22.47242379,113.9993718,12.21860604427822,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",12-13
Aethopyga christinae,1,2811,1,22.22848137,113.9123836,9.68829655791008,1,"['Shek Pik Tide Gauge Station, Hong Kong Observatory']",9-10
Aethopyga christinae,1,860,1,22.48145416,113.9993603,13.61373671118716,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Aethopyga christinae,1,930,1,22.47242379,113.9993718,13.61373671118716,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",13-14
Aethopyga christinae,2,860,1,22.48145416,113.9993603,14.407064511043773,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",
Aethopyga christinae,2,930,2,22.47242379,113.9993718,14.407064511043773,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",
Aethopyga christinae,9,2413,1,22.28287227,114.1257566,11.137098950047726,1,['The University of Hong Kong'],11-12
Aethopyga christinae,12,930,1,22.47242379,113.9993718,14.166821690711211,1,"['Tsim Bei Tsui Seismological Station, Hong Kong Observatory']",
